Precio promedio,,,,
Ruta temática,Energía> Subsector petrolero> Exportaciones> Petróleo crudo> Por tipo> Total> Precio promedio,,,
Periodicidad,Mensual,,,
Unidad de medida,Dólares por barril,,,
Fuente,Petróleos Mexicanos. Indicadores petroleros.,,,
Fecha inicial,2015/10,,,
Fecha final,1980/01,,,
Última actualización,2015/11/30,,,
Periodo,Dato,,,
2000/11,24.9,,,
2000/12,18.8,,,
2001/01,20.71,,,
2001/02,20.12,,,
2001/03,18.02,,,
2001/04,18.91,,,
2001/05,20.31,,,
2001/06,20.32,,,
2001/07,19.64,,,
2001/08,20.68,,,
2001/09,19.39,,,
2001/10,16.12,,,
2001/11,14.26,,,
2001/12,14.38,,,
2002/01,14.91,,,
2002/02,16.18,,,
2002/03,20.05,,,
2002/04,22.48,,,
2002/05,22.6,,,
2002/06,21.94,,,
2002/07,22.93,,,
2002/08,23.84,,,
2002/09,25.09,,,
2002/10,23.61,,,
2002/11,20.66,,,
2002/12,24.03,,,
2003/01,27.63,,,
2003/02,27.75,,,
2003/03,24.68,,,
2003/04,21.11,,,
2003/05,22.49,,,
2003/06,24.21,,,
2003/07,25.32,,,
2003/08,25.67,,,
2003/09,23.05,,,
2003/10,24.82,,,
2003/11,24.93,,,
2003/12,25.29,,,
2004/01,26.33,,,
2004/02,26.08,,,
2004/03,27.86,,,
2004/04,28.78,,,
2004/05,31.68,,,
2004/06,30.04,,,
2004/07,31.79,,,
2004/08,33.85,,,
2004/09,34.81,,,
2004/10,38.93,,,
2004/11,32.41,,,
2004/12,28.96,,,
2005/01,31.69,,,
2005/02,33.69,,,
2005/03,38.43,,,
2005/04,39.86,,,
2005/05,40.05,,,
2005/06,44.68,,,
2005/07,46.56,,,
2005/08,50.34,,,
2005/09,50.97,,,
2005/10,48.01,,,
2005/11,43.76,,,
2005/12,45.09,,,
2006/01,50.18,,,
2006/02,48.8,,,
2006/03,51.37,,,
2006/04,57.09,,,
2006/05,56.77,,,
2006/06,55.67,,,
2006/07,59.43,,,
2006/08,60.15,,,
2006/09,51.31,,,
2006/10,48.51,,,
2006/11,47.6,,,
2006/12,49.77,,,
2007/01,44.4,,,
2007/02,48.35,,,
2007/03,50.47,,,
2007/04,54.55,,,
2007/05,56.19,,,
2007/06,60,,,
2007/07,64.54,,,
2007/08,63.04,,,
2007/09,67.49,,,
2007/10,72.08,,,
2007/11,79.84,,,
2007/12,79.57,,,
2008/01,80.15,,,
2008/02,81.4,,,
2008/03,89.35,,,
2008/04,94.9,,,
2008/05,104.18,,,
2008/06,114.15,,,
2008/07,120.25,,,
2008/08,106.64,,,
2008/09,85.57,,,
2008/10,60.27,,,
2008/11,42.4,,,
2008/12,33.7,,,
2009/01,37.95,,,
2009/02,38.24,,,
2009/03,42.03,,,
2009/04,47.77,,,
2009/05,56.42,,,
2009/06,64.36,,,
2009/07,60.95,,,
2009/08,67.21,,,
2009/09,64.73,,,
2009/10,68.87,,,
2009/11,72.48,,,
2009/12,69.66,,,
2010/01,72.22,,,
2010/02,70.24,,,
2010/03,72.15,,,
2010/04,74.39,,,
2010/05,67.81,,,
2010/06,67.41,,,
2010/07,68.51,,,
2010/08,69.81,,,
2010/09,70.27,,,
2010/10,74.69,,,
2010/11,77.46,,,
2010/12,82.19,,,
2011/01,85.95,,,
2011/02,90.54,,,
2011/03,102.38,,,
2011/04,109.47,,,
2011/05,104.44,,,
2011/06,102.99,,,
2011/07,104.82,,,
2011/08,98.67,,,
2011/09,100.1,,,
2011/10,101.15,,,
2011/11,107.62,,,
2011/12,106.33,,,
2012/01,108.54,,,
2012/02,110.23,,,
2012/03,112.82,,,
2012/04,108.04,,,
2012/05,102.24,,,
2012/06,91.39,,,
2012/07,95.37,,,
2012/08,101.53,,,
2012/09,102.1,,,
2012/10,99.1,,,
2012/11,95.39,,,
2012/12,96.67,,,
2013/01,100.6,,,
2013/02,105.43,,,
2013/03,102.98,,,
2013/04,99.12,,,
2013/05,98.67,,,
2013/06,97.86,,,
2013/07,101,,,
2013/08,100.84,,,
2013/09,99.74,,,
2013/10,94.95,,,
2013/11,89.54,,,
2013/12,91.65,,,
2014/01,90.65,,,
2014/02,93.09,,,
2014/03,93.48,,,
2014/04,95.68,,,
2014/05,96.79,,,
2014/06,98.79,,,
2014/07,94.65,,,
2014/08,90.8,,,
2014/09,85.82,,,
2014/10,75.23,,,
2014/11,71.39,,,
2014/12,52.36,,,
2015/01,41.7,,,
2015/02,47.26,,,
2015/03,47.36,,,
2015/04,50.69,,,
2015/05,54.06,,,
2015/06,53.87,,,
2015/07,46.56,,,
2015/08,39.71,,,
2015/09,38.71,,,
2015/10,39.54,,,
